Overordnet enhet,Children_count,Total_employees
911770709,4,1043.0
984015666,3,556.0
984981384,24,484.0
976948394,7,428.0
983998178,11,402.0
985194653,22,339.0
947456415,20,292.0
986128433,7,235.0
934949145,2,231.0
971032081,5,207.0
911830868,3,196.0
984661185,5,181.0
879447232,5,176.0
923609016,4,172.0
983044778,14,163.0
965336796,17,160.0
989748319,1,156.0
914791723,21,155.0
980656616,7,154.0
974761076,2,151.0
917719993,1,149.0
967032271,3,138.0
987582561,3,133.0
917082308,8,130.0
937895321,7,128.0
914637651,1,126.0
987553014,9,125.0
986228608,1,124.0
987059729,3,122.0
834327082,2,121.0
995568217,2,121.0
980648915,3,119.0
999263550,1,114.0
929910737,3,112.0
920968201,1,111.0
920144950,2,111.0
976967631,1,110.0
948942003,2,108.0
922633452,6,108.0
968967983,1,107.0
882692302,3,106.0
917019738,7,102.0
959069743,3,100.0
947054600,4,98.0
817209882,13,98.0
915892981,5,97.0
918468919,14,88.0
931186744,6,86.0
930151246,1,85.0
925971154,1,84.0
916122128,1,83.0
980457575,1,80.0
939522719,8,79.0
998534771,1,79.0
984661177,1,77.0
971322926,1,76.0
993110469,1,75.0
994460242,1,73.0
988023868,1,73.0
924549092,1,73.0
992804440,3,73.0
813120232,1,70.0
957560199,11,70.0
930187240,2,70.0
974762501,1,69.0
930874620,1,69.0
992281618,1,69.0
913536770,3,66.0
982410339,1,66.0
881642212,3,66.0
958467095,6,64.0
912618900,3,63.0
912597636,3,63.0
994588117,5,62.0
945772042,2,60.0
917537534,2,60.0
976389387,4,58.0
991603344,7,58.0
879263662,3,57.0
961025311,1,57.0
937402198,4,57.0
952070533,2,57.0
896947532,2,57.0
967013056,2,56.0
946846856,1,55.0
910209205,1,54.0
934995953,1,54.0
874783242,2,53.0
881932792,2,53.0
928734412,1,52.0
971564679,1,51.0
911608103,3,50.0
930872962,1,50.0
947477129,5,47.0
962392687,2,47.0
938050732,1,46.0
943672520,1,46.0
885719422,1,45.0
991750282,1,45.0
921784872,3,44.0
967773778,1,44.0
957246575,1,44.0
984331584,3,44.0
918707565,1,44.0
996164748,3,43.0
946927201,6,42.0
912567508,7,42.0
930871834,1,42.0
984674104,2,42.0
976390512,1,41.0
930861634,1,41.0
977047838,2,41.0
984892071,2,41.0
930861510,1,41.0
876785722,2,40.0
930202258,1,39.0
914852625,2,39.0
914458811,10,38.0
996756246,1,36.0
832554332,5,36.0
976802357,1,36.0
935429447,5,36.0
976023188,4,35.0
830202722,1,35.0
984884176,5,35.0
925036226,4,35.0
935906865,1,35.0
913820509,5,35.0
912955915,2,34.0
980079872,4,34.0
911592770,2,34.0
993606650,1,34.0
946921815,3,34.0
931310380,1,34.0
818066872,17,34.0
917808643,1,34.0
962277055,1,34.0
983350429,1,34.0
890036732,2,33.0
914781213,1,33.0
911100797,6,33.0
918561854,1,32.0
999139124,1,32.0
927544539,1,32.0
976711556,5,32.0
935365139,1,32.0
930868922,1,32.0
962986633,2,32.0
933944522,4,32.0
931546511,1,32.0
997125916,1,31.0
913798317,1,31.0
937087977,3,31.0
937270062,3,31.0
984388659,1,31.0
989986147,5,30.0
989557718,1,30.0
975933601,2,30.0
935416779,1,30.0
916326211,1,30.0
947659138,3,29.0
982085160,1,28.0
892625522,2,28.0
892263922,1,28.0
986076905,1,28.0
819282102,3,28.0
984382286,1,27.0
983338917,3,27.0
930873950,1,27.0
971128348,1,27.0
936314783,3,27.0
930874264,1,27.0
982547822,5,27.0
925751014,2,27.0
930868957,1,27.0
995761440,1,27.0
911627604,3,26.0
910478656,1,26.0
930870838,1,26.0
916247389,1,26.0
992009241,1,26.0
931190628,1,25.0
989997149,1,25.0
990035946,9,25.0
995518023,1,25.0
997433173,1,25.0
918836519,2,24.0
944377409,1,24.0
974761211,1,24.0
935602211,1,24.0
928339246,1,24.0
925806005,1,24.0
864139442,1,23.0
990945748,2,23.0
947628380,2,23.0
935333156,3,23.0
837889812,6,23.0
951194913,1,23.0
915554407,1,22.0
915251293,1,22.0
923897682,2,22.0
930867918,1,22.0
983581048,1,22.0
985399077,3,22.0
975955737,3,21.0
984851006,2,21.0
916588739,3,20.0
937781164,2,20.0
915886949,3,20.0
983415687,2,20.0
916940157,2,20.0
918864776,1,20.0
944384448,4,20.0
957471455,1,20.0
994496093,4,20.0
995251094,2,20.0
913952812,2,19.0
916494777,2,19.0
929551192,1,19.0
899654862,2,19.0
994989391,1,19.0
975265412,1,18.0
919562404,2,18.0
939725709,3,18.0
952884840,1,18.0
971278374,6,18.0
815664582,1,18.0
920234984,1,18.0
919779535,3,18.0
983783813,1,18.0
933919005,1,17.0
884367522,1,17.0
947942638,3,17.0
984625391,1,17.0
919303808,1,17.0
965098100,6,16.0
986698159,1,16.0
830713492,1,16.0
995754606,1,16.0
826491132,2,16.0
945757280,1,16.0
938751943,1,16.0
935111587,1,16.0
928672131,1,16.0
930874795,1,15.0
989676547,2,15.0
991324968,1,15.0
990759812,1,15.0
926727117,2,15.0
986074465,1,15.0
998385903,2,15.0
976377362,1,15.0
912523918,5,15.0
925260665,1,15.0
971128739,3,15.0
915156975,1,15.0
933042332,1,15.0
981214781,2,14.0
988027944,1,14.0
996002551,1,14.0
990796378,1,14.0
919764031,1,14.0
933646920,1,14.0
938498318,5,14.0
947340204,1,14.0
953018144,1,14.0
928177165,1,14.0
882973972,1,14.0
996144372,2,14.0
958249799,1,13.0
983975240,2,13.0
976161017,1,13.0
981930010,2,13.0
951275824,1,13.0
980064921,1,13.0
986399445,1,13.0
945760222,1,13.0
993800139,1,13.0
976013263,1,13.0
877499022,1,13.0
840207412,2,13.0
963224532,2,13.0
998165199,1,13.0
935439035,1,13.0
914888646,1,12.0
983716245,1,12.0
915488099,1,12.0
913062868,1,12.0
977263646,1,12.0
914939828,1,12.0
997166221,1,12.0
913753623,1,12.0
987372540,1,12.0
984460198,1,12.0
930517216,1,11.0
830873872,1,11.0
925171743,1,11.0
915286402,1,11.0
979776233,1,11.0
979692900,2,11.0
981933311,1,11.0
892380082,1,11.0
932696789,1,11.0
910968955,3,11.0
914275504,1,11.0
923009108,1,11.0
920058817,1,11.0
979276141,1,11.0
979148046,3,11.0
997447018,1,11.0
916066317,1,11.0
830869182,1,10.0
980800873,2,10.0
887046492,1,10.0
950007613,2,10.0
876859122,1,10.0
884039312,2,10.0
929339851,1,10.0
915024815,1,10.0
966715596,2,10.0
971032146,1,10.0
920295932,1,10.0
922015961,1,10.0
984188498,1,10.0
968360302,1,10.0
925260797,1,10.0
915322506,2,9.0
944357866,3,9.0
918305521,1,9.0
950740213,1,9.0
930258008,1,9.0
977102278,2,9.0
971171324,1,9.0
980893936,1,9.0
966242825,1,9.0
887813752,2,9.0
962323855,2,9.0
868857072,1,9.0
931892126,4,9.0
979618840,1,9.0
951675318,2,9.0
936220614,1,8.0
971040238,1,8.0
947975072,3,8.0
953164701,1,8.0
974760983,1,8.0
975965120,1,8.0
983219721,1,8.0
914888794,1,8.0
919026421,1,8.0
966833300,1,8.0
971579412,2,8.0
980341097,1,8.0
995580160,1,8.0
995710757,1,8.0
922742049,2,8.0
971084995,1,8.0
916950381,1,7.0
917198403,1,7.0
939373977,3,7.0
971075252,1,7.0
918201548,1,7.0
975387011,1,7.0
984820011,1,7.0
923884874,1,7.0
933012867,1,7.0
923202692,1,7.0
980568970,1,7.0
980583147,1,7.0
980672891,1,7.0
956020263,1,7.0
884026172,1,7.0
934468740,1,7.0
914787521,1,7.0
826342552,1,7.0
947579754,1,7.0
997223039,1,7.0
921627009,1,7.0
989579541,1,6.0
982254604,1,6.0
982316588,1,6.0
954354563,1,6.0
919876522,1,6.0
983551165,1,6.0
986498192,1,6.0
918414304,1,6.0
996795292,1,6.0
927659867,1,6.0
935682525,1,6.0
935365317,2,6.0
928380173,1,6.0
916696612,1,6.0
988603880,1,6.0
927119781,1,6.0
990697809,1,6.0
991863796,1,6.0
834836262,1,6.0
979926464,1,6.0
843495672,1,6.0
971583134,2,6.0
980254364,1,6.0
931620207,2,6.0
974350262,2,6.0
917081859,1,6.0
981929055,2,6.0
921979436,4,5.0
996877388,1,5.0
960893506,1,5.0
999139906,1,5.0
984328796,1,5.0
917136769,1,5.0
984757514,1,5.0
994628577,1,5.0
974406381,1,5.0
943786232,1,5.0
983445349,1,5.0
961885515,1,5.0
942052111,1,5.0
916800479,1,0.0
916813104,1,0.0
916837461,1,0.0
916844468,1,0.0
916852894,1,0.0
927253607,1,0.0
927269287,1,0.0
927408627,1,0.0
927905590,1,0.0
928152316,1,0.0
928291650,1,0.0
928296024,1,0.0
928352498,1,0.0
928468208,1,0.0
928560503,1,0.0
928666743,1,0.0
928795098,1,0.0
928825906,1,0.0
928932311,1,0.0
929048989,1,0.0
929065689,1,0.0
929403509,1,0.0
929403517,1,0.0
929958195,1,0.0
930087793,1,0.0
930131261,1,0.0
930666823,1,0.0
930711853,1,0.0
930807893,1,0.0
930848115,1,0.0
930848662,1,0.0
930888923,1,0.0
931041029,1,0.0
931250329,1,0.0
931307282,1,0.0
931419323,1,0.0
931596500,1,0.0
931615106,1,0.0
931871749,1,0.0
932021706,1,0.0
932066351,1,0.0
932144336,1,0.0
932598833,1,0.0
932764520,1,0.0
919885092,1,0.0
919927240,1,0.0
920132707,1,0.0
920169058,1,0.0
920412203,1,0.0
920631894,1,0.0
920861628,1,0.0
920893368,1,0.0
920895670,1,0.0
920901522,1,0.0
921140746,1,0.0
921292430,1,0.0
921472471,1,0.0
921593511,1,0.0
921721722,1,0.0
921757131,14,0.0
921788207,1,0.0
922185042,1,0.0
922191549,1,0.0
922377111,1,0.0
922402965,1,0.0
922689903,3,0.0
922722927,2,0.0
932863316,1,0.0
933154904,1,0.0
933667901,1,0.0
933708357,1,0.0
933792056,1,0.0
933826651,1,0.0
934144570,1,0.0
934850114,1,0.0
935465575,1,0.0
935784999,1,0.0
935872189,1,0.0
935920442,1,0.0
935997739,1,0.0
936011667,1,0.0
936079679,1,0.0
936116523,1,0.0
936220673,1,0.0
938679177,1,0.0
939015159,1,0.0
940434254,3,0.0
940456584,1,0.0
940698332,4,0.0
914315468,1,0.0
914601738,1,0.0
914765978,1,0.0
914766451,11,0.0
914778271,3,0.0
914821606,1,0.0
914892821,1,0.0
914949149,1,0.0
914969093,1,0.0
915131794,1,0.0
915138462,1,0.0
915141129,1,0.0
915183484,1,0.0
915332811,1,0.0
915335853,1,0.0
915424651,1,0.0
915453597,1,0.0
915455174,1,0.0
942822979,1,0.0
943049467,1,0.0
943184097,1,0.0
943529167,1,0.0
943538050,1,0.0
943762236,1,0.0
943838240,1,0.0
944383832,1,0.0
946468037,1,0.0
947215272,1,0.0
947274139,1,0.0
948029448,1,0.0
948278324,1,0.0
948334534,1,0.0
950132388,1,0.0
950956828,1,0.0
951081817,1,0.0
952187627,2,0.0
952507729,1,0.0
953007940,3,0.0
953368307,1,0.0
953734672,1,0.0
953880873,1,0.0
954537900,1,0.0
954558258,6,0.0
956792150,1,0.0
956796237,1,0.0
958995369,1,0.0
959207925,1,0.0
959934924,2,0.0
960197631,1,0.0
831018682,1,0.0
960896610,1,0.0
996284255,1,0.0
962208878,4,0.0
996334767,1,0.0
996346579,1,0.0
964417954,1,0.0
965215301,1,0.0
881072262,4,0.0
966417706,1,0.0
882153002,1,0.0
882258572,2,0.0
967034681,2,0.0
967099678,1,0.0
967682535,1,0.0
997390059,1,0.0
969100916,1,0.0
969565498,1,0.0
969780445,1,0.0
970133410,1,0.0
970324739,1,0.0
970550984,1,0.0
970587713,1,0.0
970953302,1,0.0
970954406,1,0.0
923842861,1,0.0
971038179,1,0.0
992731559,1,0.0
971074337,1,0.0
991763961,3,0.0
993449474,1,0.0
999514391,2,0.0
971228113,1,0.0
971275596,1,0.0
971278404,1,0.0
971279109,1,0.0
971420782,1,0.0
971526912,1,0.0
816215072,1,0.0
816285712,6,0.0
971654007,1,0.0
972410802,1,0.0
974230887,2,0.0
912591646,1,0.0
912672808,1,0.0
912700968,1,0.0
912721329,1,0.0
912814076,1,0.0
912889688,1,0.0
817206212,1,0.0
913169883,1,0.0
913260295,1,0.0
913285670,4,0.0
913387783,1,0.0
913459296,1,0.0
913461762,1,0.0
913569555,1,0.0
913641590,1,0.0
913645936,1,0.0
817301592,1,0.0
913843452,1,0.0
913981642,1,0.0
914042593,1,0.0
914177499,1,0.0
914252067,2,0.0
818424132,1,0.0
819545782,1,0.0
820608372,1,0.0
974442116,1,0.0
821025842,1,0.0
974761157,2,0.0
974761343,1,0.0
975265986,1,0.0
821775922,1,0.0
975589919,1,0.0
822820662,1,0.0
975991512,1,0.0
825504672,1,0.0
976030893,1,0.0
825810722,1,0.0
976204034,1,0.0
976724321,1,0.0
826435232,1,0.0
977105676,1,0.0
996798577,1,0.0
977293022,1,0.0
978681697,2,0.0
996972798,1,0.0
996992454,1,0.0
979517246,1,0.0
829364662,1,0.0
917289093,1,0.0
917346402,1,0.0
917415889,1,0.0
917446083,1,0.0
917687994,1,0.0
917894558,1,0.0
917895112,1,0.0
917949786,1,0.0
918041192,1,0.0
918041958,1,0.0
918066802,1,0.0
918174842,1,0.0
997449452,1,0.0
918295321,1,0.0
918301038,1,0.0
997497759,1,0.0
918309950,1,0.0
918319034,1,0.0
918369651,2,0.0
997632176,1,0.0
918685618,1,0.0
918895965,1,0.0
918954724,1,0.0
997676335,1,0.0
919093048,1,0.0
919117060,1,0.0
919166754,1,0.0
919457465,1,0.0
997776844,1,0.0
997938038,1,0.0
998076218,1,0.0
980018709,1,0.0
998380731,1,0.0
998414032,1,0.0
916879067,1,0.0
916922337,1,0.0
917019215,1,0.0
991016074,1,0.0
980748669,1,0.0
991351493,1,0.0
980845001,1,0.0
991469028,1,0.0
981413156,1,0.0
981428781,1,0.0
981896475,1,0.0
981906071,1,0.0
991715363,1,0.0
991731954,1,0.0
827043672,1,0.0
982218098,1,0.0
924332352,1,0.0
982299152,1,0.0
924453532,1,0.0
924507500,1,0.0
924564164,1,0.0
983544622,1,0.0
924611499,1,0.0
983594891,1,0.0
983603912,1,0.0
925028983,1,0.0
925117773,1,0.0
984040849,1,0.0
830310932,1,0.0
984204507,1,0.0
925273325,1,0.0
885617182,1,0.0
925411868,1,0.0
925449369,1,0.0
889640782,4,0.0
891731752,1,0.0
925511501,1,0.0
925686980,1,0.0
911382008,1,0.0
911611163,1,0.0
911639459,1,0.0
911648768,1,0.0
911725436,1,0.0
911858509,1,0.0
911872218,1,0.0
911909898,1,0.0
911985292,1,0.0
912344452,1,0.0
984398123,1,0.0
925854239,1,0.0
984684037,1,0.0
984736878,1,0.0
925925772,1,0.0
926373358,1,0.0
984834683,1,0.0
984896638,1,0.0
985063001,1,0.0
985419310,1,0.0
985467544,1,0.0
985758220,3,0.0
985841764,1,0.0
986330615,1,0.0
926520695,1,0.0
926562630,1,0.0
986807233,1,0.0
986981306,1,0.0
987059699,1,0.0
987099011,1,0.0
926573454,1,0.0
987548177,1,0.0
987664479,1,0.0
987794666,2,0.0
988012432,1,0.0
988188220,1,0.0
988210641,1,0.0
988240079,1,0.0
988323128,1,0.0
988552119,2,0.0
926743848,1,0.0
988767654,2,0.0
989042335,1,0.0
989112740,1,0.0
989176013,1,0.0
989196022,1,0.0
989233351,1,0.0
926782657,1,0.0
989580493,2,0.0
990115206,1,0.0
990150788,1,0.0
990154317,1,0.0
990317844,1,0.0
990381577,1,0.0
926933213,1,0.0
990800464,1,0.0
991013628,1,0.0
996379469,1,0.0
996509761,1,0.0
996535126,1,0.0
927086689,1,0.0
991872078,1,0.0
991876162,1,0.0
992001526,1,0.0
992097841,1,0.0
992248092,1,0.0
992349786,1,0.0
826515562,1,0.0
831059192,1,0.0
831694432,1,0.0
832399272,1,0.0
915688543,1,0.0
835232972,1,0.0
835302202,1,0.0
915752683,2,0.0
916024649,2,0.0
856331482,1,0.0
916024983,1,0.0
869223832,1,0.0
874477842,1,0.0
916152205,1,0.0
916180934,1,0.0
995801957,1,0.0
814344282,1,0.0
998728673,1,0.0
811863882,1,0.0
916181302,1,0.0
811614262,1,0.0
999293131,1,0.0
999309852,1,0.0
999330991,1,0.0
829348802,1,0.0
916210981,1,0.0
916214782,1,0.0
884181682,1,0.0
992881267,1,0.0
993049166,1,0.0
993095508,1,0.0
993357030,1,0.0
827102822,1,0.0
993514950,1,0.0
916263333,1,0.0
993843474,1,0.0
993954896,1,0.0
994167340,1,0.0
994171658,1,0.0
916497741,1,0.0
994668242,2,0.0
994773585,1,0.0
994995057,1,0.0
995287889,1,0.0
995458756,1,0.0
916573065,1,0.0
916646879,1,0.0
916684355,1,0.0
922983437,2,0.0
916687435,1,0.0
923052402,1,0.0
923198199,1,0.0
916725558,2,0.0
923351663,1,0.0
923672346,1,0.0
923683909,1,0.0
829437422,1,0.0
