Navn,Org. nr.,Overordnet enhet,Antall ansatte,Dataset,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje,Organisasjonsform - Kode,Beliggenhetsadresse - Kommune,Org. nr._str,Employees
Bilfinger Norway as avd Porsgrunn reparasjon,989075810,988996564,746.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,989075810,746.0
Lede as avd Porsgrunn,979611404,979422679,272.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,35.14,Distribusjon av elektrisitet,,,,,BEDR,Porsgrunn,979611404,272.0
Eramet Norway as avd Porsgrunn,973095358,980518647,205.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,24.1,"Produksjon av jern og stål, samt ferrolegeringer",,,,,BEDR,Porsgrunn,973095358,205.0
Ulefos as avd ulefoss,972424978,981083032,144.0,Underenhet,,,,,Nome,Underenhet til næringsdrivende og offentlig forvaltning,24.51,Støping av jern,,,,,BEDR,Nome,972424978,144.0
Maskineriet as avd Skien,995803941,912580202,139.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,82.2,Telefonvakttjenester og telefonsalg,,,,,BEDR,Skien,995803941,139.0
Laugstol as avd Telemark,971797673,964715378,95.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,43.21,Elektrisk installasjonsarbeid,,,,,BEDR,Porsgrunn,971797673,95.0
Forbrukertilsynet Porsgrunn,974720728,974761335,92.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.13,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,,BEDR,Porsgrunn,974720728,92.0
Pasientreiser hf avd Skien,994306510,918695079,88.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,,,,,BEDR,Skien,994306510,88.0
Nav Skien,994706233,974241730,81.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Skien,994706233,81.0
Nav Vestfold og Telemark,994706187,974241730,62.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Porsgrunn,994706187,62.0
Kranringen as avd Skien,971678933,953069466,55.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,49.41,Godstransport på vei,,,,,BEDR,Skien,971678933,55.0
Bilfinger Norway as avd rjukan,991466916,988996564,47.0,Underenhet,,,,,Tinn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Tinn,991466916,47.0
Nav Vestfold og Telemark torggata 18 Skien,991357122,974241730,42.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Skien,991357122,42.0
Hybeko as avd Skien,971732962,991729380,37.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,46.64,Engroshandel med maskiner og utstyr ellers,,,,,BEDR,Skien,971732962,37.0
Brubakken as hovedkontor,974305356,930730556,36.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,974305356,36.0
Bilfinger Norway as avd rafnes,991466819,988996564,36.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Bamble,991466819,36.0
Skarpenord as avd rjukan,971811781,937773609,34.0,Underenhet,,,,,Tinn,Underenhet til næringsdrivende og offentlig forvaltning,28.12,Produksjon av komponenter til hydraulisk og pneumatisk utstyr,,,,,BEDR,Tinn,971811781,34.0
At skog sa avd Porsgrunn,973358413,989086642,34.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,46.83,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",,,,,BEDR,Porsgrunn,973358413,34.0
Norsk skogrydding as avd Drangedal,921985126,920997082,32.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Drangedal,921985126,32.0
Nk energi as avd langangen,925773905,925750638,31.0,Underenhet,,,,,Larvik,Underenhet til næringsdrivende og offentlig forvaltning,46.81,"Engroshandel med drivstoff, brensel og beslektede produkter",,,,,BEDR,Porsgrunn,925773905,31.0
Bypost as avd Telemark,989438794,989383167,31.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,53.2,Andre post- og budtjenester,,,,,BEDR,Skien,989438794,31.0
Aspit as avd Seljord,983504655,983439977,29.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.2,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,,,,BEDR,Seljord,983504655,29.0
Vms Porsgrunn as avd Porsgrunn,972174041,986754199,24.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,972174041,24.0
Power Porsgrunn,922835241,922704619,23.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.54,Detaljhandel med elektriske husholdningsapparater,,,,,BEDR,Porsgrunn,922835241,23.0
Eiendomsmegler 1 Telemark as avd Skien,893066942,971225793,23.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.31,Eiendomsmegling og andre formidlingstjenester for eiendom,,,,,BEDR,Skien,893066942,23.0
Nav Notodden,991369252,974241730,22.0,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Notodden,991369252,22.0
Stena recycling as avd Skien,971716088,983594506,21.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,38.21,Materialgjenvinning,,,,,BEDR,Skien,971716088,21.0
Nav Bamble,894705922,974241730,21.0,Underenhet,,,,,Bamble,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Bamble,894705922,21.0
Nav Midt-Telemark,992982616,974241730,21.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Midt-Telemark,992982616,21.0
Vestfold og Telemark revisjon iks avd Skien,980149838,923822410,18.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,84.11,Generell offentlig administrasjon,,,,,BEDR,Skien,980149838,18.0
Stena recycling as avd administrasjon,976967577,983594506,17.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,38.21,Materialgjenvinning,,,,,BEDR,Porsgrunn,976967577,17.0
Tvb bolig as avd Skien,987269464,987259787,17.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Skien,987269464,17.0
Lede as avd Hjartdal,974631822,979422679,16.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,35.15,Handel med elektrisitet,,,,,BEDR,Hjartdal,974631822,16.0
St1 pors,872277242,821863902,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.3,Detaljhandel med drivstoff til motorvogner,,,,,BEDR,Skien,872277242,15.0
Tango bøsenteret,973033239,981240987,15.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.21,Frisering og barbering,,,,,BEDR,Midt-Telemark,973033239,15.0
Ts site services as avd Porsgrunn,971934956,823164912,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,971934956,14.0
Sac drift as avd Notodden,994463667,919767367,14.0,Underenhet,,,,,Hjartdal,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Notodden,994463667,14.0
Aplia as avd Skien,992049855,998850371,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.1,Dataprogrammeringstjenester,,,,,BEDR,Skien,992049855,14.0
Stena confidential as avd administrasjon,925516716,924965126,14.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,,,,,,,BEDR,Porsgrunn,925516716,14.0
St1 sjøormen,977219566,821863902,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.3,Detaljhandel med drivstoff til motorvogner,,,,,BEDR,Seljord,977219566,13.0
Nb & partnere as avd stathelle,922364699,922346313,13.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,66.22,Forsikringsformidling,,,,,BEDR,Bamble,922364699,13.0
Brubakken rental as avd Porsgrunn,925324116,925231460,13.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,77.39,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted,,,,,BEDR,Porsgrunn,925324116,13.0
Uno-x 7-eleven 7531 wattenberg,874108952,991693386,12.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.3,Detaljhandel med drivstoff til motorvogner,,,,,BEDR,Skien,874108952,12.0
Sannidal veiservice,973144685,932291746,12.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.3,Detaljhandel med drivstoff til motorvogner,,,,,BEDR,Kragerø,973144685,12.0
Telemark eiendomsmegling as avd Skien,925615587,925590711,12.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.31,Eiendomsmegling og andre formidlingstjenester for eiendom,,,,,BEDR,Skien,925615587,12.0
Nav vest-telemark,990230315,974241730,12.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Tokke,990230315,12.0
Tango halvstrøm,871850852,981240987,12.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.21,Frisering og barbering,,,,,BEDR,Skien,871850852,12.0
Herkules euro sko,880624512,910145487,11.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.72,Detaljhandel med skotøy og lærvarer,,,,,BEDR,Skien,880624512,11.0
Tsg holdco as avd Porsgrunn,993065412,993034169,11.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,71.129,Annen teknisk konsulentvirksomhet,,,,,BEDR,Porsgrunn,993065412,11.0
Agere trafikkskole as avd Skien,922952779,922926743,11.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,85.531,Undervisning ved godkjente trafikkskoler,,,,,BEDR,Skien,922952779,11.0
Tango arkaden,971956585,981240987,11.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.21,Frisering og barbering,,,,,BEDR,Skien,971956585,11.0
Power brotorvet,973142828,922704619,10.0,Underenhet,,,,,Bamble,Underenhet til næringsdrivende og offentlig forvaltning,47.54,Detaljhandel med elektriske husholdningsapparater,,,,,BEDR,Bamble,973142828,10.0
Trend sko arkaden AS,872113932,945482184,10.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,47.72,Detaljhandel med skotøy og lærvarer,,,,,BEDR,Skien,872113932,10.0
First camp norsjø,929980689,828430882,10.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,55.3,Drift av campingplasser,,,,,BEDR,Midt-Telemark,929980689,10.0
Nb & partnere as avd Porsgrunn,934625021,922346313,10.0,Underenhet,,,,,Bamble,Underenhet til næringsdrivende og offentlig forvaltning,66.22,Forsikringsformidling,,,,,BEDR,Porsgrunn,934625021,10.0
Nav Vestfold og Telemark ytre strandvei 3 Kragerø,994477706,974241730,10.0,Underenhet,,,,,Kragerø,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Kragerø,994477706,10.0
Tango down town,972144215,981240987,10.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.21,Frisering og barbering,,,,,BEDR,Porsgrunn,972144215,10.0
Rare earths Norway as avd ulefoss,827739502,918662049,9.0,Underenhet,,,,,Molde,Underenhet til næringsdrivende og offentlig forvaltning,8.99,Annen bryting og utvinning ikke nevnt annet sted,,,,,BEDR,Nome,827739502,9.0
Trend sko klosteross,974820706,945482184,9.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,47.72,Detaljhandel med skotøy og lærvarer,,,,,BEDR,Skien,974820706,9.0
Kremen arkaden,821546362,917471517,9.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Skien,821546362,9.0
Nav Tinn,991381864,974241730,9.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Tinn,991381864,9.0
Tango brotorget,973137433,981240987,9.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.21,Frisering og barbering,,,,,BEDR,Bamble,973137433,9.0
Tango herkules,993154733,981240987,9.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.21,Frisering og barbering,,,,,BEDR,Skien,993154733,9.0
Power Kragerø,971715995,922704619,8.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.54,Detaljhandel med elektriske husholdningsapparater,,,,,BEDR,Kragerø,971715995,8.0
First camp bø,972062901,828430882,8.0,Underenhet,,,,,Midt-Telemark,Underenhet til næringsdrivende og offentlig forvaltning,55.3,Drift av campingplasser,,,,,BEDR,Midt-Telemark,972062901,8.0
Hjartdal og gransherad rekneskapskontor as avd sauland,974168898,971220988,8.0,Underenhet,,,,,Hjartdal,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Hjartdal,974168898,8.0
Porsgrunds porselænsfabrik as avd produksjon Porsgrunn,971753838,915232523,7.0,Underenhet,,,,,Asker,Underenhet til næringsdrivende og offentlig forvaltning,23.41,Produksjon av keramiske husholdningsartikler og dekorasjonsgjenstander,,,,,BEDR,Porsgrunn,971753838,7.0
Telerevisjon as avd Seljord,976165977,990174873,7.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,69.201,Revisjon,,,,,BEDR,Seljord,976165977,7.0
Dm energy as avd Fyresdal,920846858,920835163,6.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,25.53,Bearbeiding av metaller,,,,,BEDR,Fyresdal,920846858,6.0
Alf johansen as avd Seljord,971659432,910402722,6.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.12,Grunnarbeid,,,,,BEDR,Seljord,971659432,6.0
Økoråd Bamble as avd krabberødveien,973272705,821551692,6.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,69.202,Regnskapsføring og bokføring,,,,,BEDR,Bamble,973272705,6.0
Vestfold og Telemark revisjon iks avd bø,974548291,923822410,6.0,Underenhet,,,,,Midt-Telemark,Underenhet til næringsdrivende og offentlig forvaltning,84.11,Generell offentlig administrasjon,,,,,BEDR,Midt-Telemark,974548291,6.0
Tango storgata,972222348,981240987,6.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.21,Frisering og barbering,,,,,BEDR,Porsgrunn,972222348,6.0
Tango ulefoss,982308488,981240987,6.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.21,Frisering og barbering,,,,,BEDR,Nome,982308488,6.0
Tango telesenteret,987082569,981240987,6.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,96.21,Frisering og barbering,,,,,BEDR,Seljord,987082569,6.0
Framtre as avd Porsgrunn,825312242,925066583,5.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,2.2,Avvirkning,,,,,BEDR,Porsgrunn,825312242,5.0
Porsgrunds porselænsfabrik as avd fabrikkutsalget,995257653,915232523,5.0,Underenhet,,,,,Asker,Underenhet til næringsdrivende og offentlig forvaltning,23.41,Produksjon av keramiske husholdningsartikler og dekorasjonsgjenstander,,,,,BEDR,Porsgrunn,995257653,5.0
T midgaard & co as avd kunst & rammer salg Porsgrunn,974116022,979861699,5.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,47.69,Detaljhandel med kulturvarer ikke nevnt annet sted,,,,,BEDR,Porsgrunn,974116022,5.0
Amedia annonse Telemark og agder as avd Skien,930323292,930060690,5.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,73.11,Reklamebyråvirksomhet,,,,,BEDR,Skien,930323292,5.0
Nav Drangedal,994754394,974241730,5.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,84.3,Administrasjon av trygdeordninger underlagt offentlig forvaltning,,,,,BEDR,Drangedal,994754394,5.0
