Geografi,År,Alder,Innvandringskategori,Lavinntektsgrense,Måltall,value
Hele landet,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.79045899312611
Hele landet,2015-2017,0-17 år,totalt,EU 60,andel (prosent),10.9945990978467
Hele landet,2016-2018,alle aldre,totalt,EU 60,andel (prosent),10.0339836324143
Hele landet,2016-2018,0-17 år,totalt,EU 60,andel (prosent),11.4797085099247
Hele landet,2017-2019,alle aldre,totalt,EU 60,andel (prosent),10.2464654819684
Hele landet,2017-2019,0-17 år,totalt,EU 60,andel (prosent),11.8570877648778
Hele landet,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.2403359170556
Hele landet,2018-2020,0-17 år,totalt,EU 60,andel (prosent),11.8811790618041
Hele landet,2019-2021,alle aldre,totalt,EU 60,andel (prosent),10.0813517886317
Hele landet,2019-2021,0-17 år,totalt,EU 60,andel (prosent),11.5211645208286
Hele landet,2020-2022,alle aldre,totalt,EU 60,andel (prosent),9.80538953107484
Hele landet,2020-2022,0-17 år,totalt,EU 60,andel (prosent),10.8782515336791
Hele landet,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.54586721413631
Hele landet,2021-2023,0-17 år,totalt,EU 60,andel (prosent),10.2973186209578
Telemark,2015-2017,alle aldre,totalt,EU 60,andel (prosent),11.4925161425602
Telemark,2015-2017,0-17 år,totalt,EU 60,andel (prosent),14.8274392841926
Telemark,2016-2018,alle aldre,totalt,EU 60,andel (prosent),11.6571765529696
Telemark,2016-2018,0-17 år,totalt,EU 60,andel (prosent),15.1960784313725
Telemark,2017-2019,alle aldre,totalt,EU 60,andel (prosent),11.8689620550746
Telemark,2017-2019,0-17 år,totalt,EU 60,andel (prosent),15.9249187504145
Telemark,2018-2020,alle aldre,totalt,EU 60,andel (prosent),11.8347851548203
Telemark,2018-2020,0-17 år,totalt,EU 60,andel (prosent),16.0964127047278
Telemark,2019-2021,alle aldre,totalt,EU 60,andel (prosent),11.6469307448562
Telemark,2019-2021,0-17 år,totalt,EU 60,andel (prosent),15.679115726009
Telemark,2020-2022,alle aldre,totalt,EU 60,andel (prosent),11.4581244264557
Telemark,2020-2022,0-17 år,totalt,EU 60,andel (prosent),15.0774550015254
Telemark,2021-2023,alle aldre,totalt,EU 60,andel (prosent),11.2763126058553
Telemark,2021-2023,0-17 år,totalt,EU 60,andel (prosent),14.5271191060234
Porsgrunn,2015-2017,alle aldre,totalt,EU 60,andel (prosent),10.1736234986324
Porsgrunn,2015-2017,0-17 år,totalt,EU 60,andel (prosent),11.9886721208307
Porsgrunn,2016-2018,alle aldre,totalt,EU 60,andel (prosent),10.6931218491111
Porsgrunn,2016-2018,0-17 år,totalt,EU 60,andel (prosent),12.9032258064516
Porsgrunn,2017-2019,alle aldre,totalt,EU 60,andel (prosent),10.9776110655257
Porsgrunn,2017-2019,0-17 år,totalt,EU 60,andel (prosent),13.624107850912
Porsgrunn,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.7805502239283
Porsgrunn,2018-2020,0-17 år,totalt,EU 60,andel (prosent),13.5411746181704
Porsgrunn,2019-2021,alle aldre,totalt,EU 60,andel (prosent),10.8252511760265
Porsgrunn,2019-2021,0-17 år,totalt,EU 60,andel (prosent),13.1896005072923
Porsgrunn,2020-2022,alle aldre,totalt,EU 60,andel (prosent),10.7741466957153
Porsgrunn,2020-2022,0-17 år,totalt,EU 60,andel (prosent),13.5348014788619
Porsgrunn,2021-2023,alle aldre,totalt,EU 60,andel (prosent),10.4678666205146
Porsgrunn,2021-2023,0-17 år,totalt,EU 60,andel (prosent),12.8617886178862
Skien,2015-2017,alle aldre,totalt,EU 60,andel (prosent),12.7093961961727
Skien,2015-2017,0-17 år,totalt,EU 60,andel (prosent),17.4371451743715
Skien,2016-2018,alle aldre,totalt,EU 60,andel (prosent),12.6297174394652
Skien,2016-2018,0-17 år,totalt,EU 60,andel (prosent),17.4443427874352
Skien,2017-2019,alle aldre,totalt,EU 60,andel (prosent),13.0189152189422
Skien,2017-2019,0-17 år,totalt,EU 60,andel (prosent),18.4565459892506
Skien,2018-2020,alle aldre,totalt,EU 60,andel (prosent),13.0539840828459
Skien,2018-2020,0-17 år,totalt,EU 60,andel (prosent),18.3724916809519
Skien,2019-2021,alle aldre,totalt,EU 60,andel (prosent),12.7501189909567
Skien,2019-2021,0-17 år,totalt,EU 60,andel (prosent),17.6703163017032
Skien,2020-2022,alle aldre,totalt,EU 60,andel (prosent),12.7091316059031
Skien,2020-2022,0-17 år,totalt,EU 60,andel (prosent),17.4086175209312
Skien,2021-2023,alle aldre,totalt,EU 60,andel (prosent),12.6375896915737
Skien,2021-2023,0-17 år,totalt,EU 60,andel (prosent),17.0204123083173
Notodden,2015-2017,alle aldre,totalt,EU 60,andel (prosent),12.4497002545783
Notodden,2015-2017,0-17 år,totalt,EU 60,andel (prosent),16.3183637172077
Notodden,2016-2018,alle aldre,totalt,EU 60,andel (prosent),12.6337280522662
Notodden,2016-2018,0-17 år,totalt,EU 60,andel (prosent),16.5857962064402
Notodden,2017-2019,alle aldre,totalt,EU 60,andel (prosent),12.7238376868737
Notodden,2017-2019,0-17 år,totalt,EU 60,andel (prosent),17.4089068825911
Notodden,2018-2020,alle aldre,totalt,EU 60,andel (prosent),12.9111438389789
Notodden,2018-2020,0-17 år,totalt,EU 60,andel (prosent),18.0630630630631
Notodden,2019-2021,alle aldre,totalt,EU 60,andel (prosent),12.6331192585969
Notodden,2019-2021,0-17 år,totalt,EU 60,andel (prosent),17.8266726537943
Notodden,2020-2022,alle aldre,totalt,EU 60,andel (prosent),11.9574989783408
Notodden,2020-2022,0-17 år,totalt,EU 60,andel (prosent),15.8934313275149
Notodden,2021-2023,alle aldre,totalt,EU 60,andel (prosent),11.760878405856
Notodden,2021-2023,0-17 år,totalt,EU 60,andel (prosent),15.1260504201681
Siljan,2015-2017,alle aldre,totalt,EU 60,andel (prosent),8.2659478885894
Siljan,2015-2017,0-17 år,totalt,EU 60,andel (prosent),12.4168514412417
Siljan,2016-2018,alle aldre,totalt,EU 60,andel (prosent),9.28251121076233
Siljan,2016-2018,0-17 år,totalt,EU 60,andel (prosent),12.933025404157
Siljan,2017-2019,alle aldre,totalt,EU 60,andel (prosent),9.17594654788419
Siljan,2017-2019,0-17 år,totalt,EU 60,andel (prosent),15.632183908046
Siljan,2018-2020,alle aldre,totalt,EU 60,andel (prosent),8.94667254297047
Siljan,2018-2020,0-17 år,totalt,EU 60,andel (prosent),13.9588100686499
Siljan,2019-2021,alle aldre,totalt,EU 60,andel (prosent),8.1057268722467
Siljan,2019-2021,0-17 år,totalt,EU 60,andel (prosent),11.5740740740741
Siljan,2020-2022,alle aldre,totalt,EU 60,andel (prosent),7.52640845070423
Siljan,2020-2022,0-17 år,totalt,EU 60,andel (prosent),9.80861244019139
Siljan,2021-2023,alle aldre,totalt,EU 60,andel (prosent),6.91021126760563
Siljan,2021-2023,0-17 år,totalt,EU 60,andel (prosent),8.25471698113208
Bamble,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.47941527446301
Bamble,2015-2017,0-17 år,totalt,EU 60,andel (prosent),12.6705653021443
Bamble,2016-2018,alle aldre,totalt,EU 60,andel (prosent),9.69547693685625
Bamble,2016-2018,0-17 år,totalt,EU 60,andel (prosent),13.5787806809185
Bamble,2017-2019,alle aldre,totalt,EU 60,andel (prosent),9.43410331165433
Bamble,2017-2019,0-17 år,totalt,EU 60,andel (prosent),12.8392061563386
Bamble,2018-2020,alle aldre,totalt,EU 60,andel (prosent),9.24678047319557
Bamble,2018-2020,0-17 år,totalt,EU 60,andel (prosent),13.0223123732252
Bamble,2019-2021,alle aldre,totalt,EU 60,andel (prosent),9.16654286138761
Bamble,2019-2021,0-17 år,totalt,EU 60,andel (prosent),13.0647130647131
Bamble,2020-2022,alle aldre,totalt,EU 60,andel (prosent),8.96582334664891
Bamble,2020-2022,0-17 år,totalt,EU 60,andel (prosent),12.2231337161608
Bamble,2021-2023,alle aldre,totalt,EU 60,andel (prosent),8.49300880372864
Bamble,2021-2023,0-17 år,totalt,EU 60,andel (prosent),11.2536201903186
Kragerø,2015-2017,alle aldre,totalt,EU 60,andel (prosent),12.2810549627542
Kragerø,2015-2017,0-17 år,totalt,EU 60,andel (prosent),16.0023446658851
Kragerø,2016-2018,alle aldre,totalt,EU 60,andel (prosent),12.2978981406629
Kragerø,2016-2018,0-17 år,totalt,EU 60,andel (prosent),15.7296650717703
Kragerø,2017-2019,alle aldre,totalt,EU 60,andel (prosent),12.1931508233155
Kragerø,2017-2019,0-17 år,totalt,EU 60,andel (prosent),15.9077109896782
Kragerø,2018-2020,alle aldre,totalt,EU 60,andel (prosent),11.9155811370292
Kragerø,2018-2020,0-17 år,totalt,EU 60,andel (prosent),16.6666666666667
Kragerø,2019-2021,alle aldre,totalt,EU 60,andel (prosent),11.7771936918722
Kragerø,2019-2021,0-17 år,totalt,EU 60,andel (prosent),16.7178856791641
Kragerø,2020-2022,alle aldre,totalt,EU 60,andel (prosent),11.6286149162862
Kragerø,2020-2022,0-17 år,totalt,EU 60,andel (prosent),15.9825870646766
Kragerø,2021-2023,alle aldre,totalt,EU 60,andel (prosent),11.3055866490282
Kragerø,2021-2023,0-17 år,totalt,EU 60,andel (prosent),14.7188881869867
Drangedal,2015-2017,alle aldre,totalt,EU 60,andel (prosent),12.8080082135524
Drangedal,2015-2017,0-17 år,totalt,EU 60,andel (prosent),20.0
Drangedal,2016-2018,alle aldre,totalt,EU 60,andel (prosent),12.7103287600311
Drangedal,2016-2018,0-17 år,totalt,EU 60,andel (prosent),18.3098591549296
Drangedal,2017-2019,alle aldre,totalt,EU 60,andel (prosent),12.045395924684
Drangedal,2017-2019,0-17 år,totalt,EU 60,andel (prosent),16.3584637268848
Drangedal,2018-2020,alle aldre,totalt,EU 60,andel (prosent),13.360739979445
Drangedal,2018-2020,0-17 år,totalt,EU 60,andel (prosent),20.476858345021
Drangedal,2019-2021,alle aldre,totalt,EU 60,andel (prosent),13.1126507569926
Drangedal,2019-2021,0-17 år,totalt,EU 60,andel (prosent),19.8838896952105
Drangedal,2020-2022,alle aldre,totalt,EU 60,andel (prosent),12.8774193548387
Drangedal,2020-2022,0-17 år,totalt,EU 60,andel (prosent),19.1330343796712
Drangedal,2021-2023,alle aldre,totalt,EU 60,andel (prosent),12.2123430962343
Drangedal,2021-2023,0-17 år,totalt,EU 60,andel (prosent),18.2515337423313
Nome,2015-2017,alle aldre,totalt,EU 60,andel (prosent),11.8993506493507
Nome,2015-2017,0-17 år,totalt,EU 60,andel (prosent),13.9963167587477
Nome,2016-2018,alle aldre,totalt,EU 60,andel (prosent),11.7618350414837
Nome,2016-2018,0-17 år,totalt,EU 60,andel (prosent),13.6073059360731
Nome,2017-2019,alle aldre,totalt,EU 60,andel (prosent),11.8685233160622
Nome,2017-2019,0-17 år,totalt,EU 60,andel (prosent),15.4751131221719
Nome,2018-2020,alle aldre,totalt,EU 60,andel (prosent),11.0201408220075
Nome,2018-2020,0-17 år,totalt,EU 60,andel (prosent),14.6204311152765
Nome,2019-2021,alle aldre,totalt,EU 60,andel (prosent),10.9931394968964
Nome,2019-2021,0-17 år,totalt,EU 60,andel (prosent),16.1259541984733
Nome,2020-2022,alle aldre,totalt,EU 60,andel (prosent),11.4146341463415
Nome,2020-2022,0-17 år,totalt,EU 60,andel (prosent),14.9809160305344
Nome,2021-2023,alle aldre,totalt,EU 60,andel (prosent),10.4399212081418
Nome,2021-2023,0-17 år,totalt,EU 60,andel (prosent),14.0487804878049
Midt-Telemark,2015-2017,alle aldre,totalt,EU 60,andel (prosent),13.492148274757
Midt-Telemark,2015-2017,0-17 år,totalt,EU 60,andel (prosent),16.6396542409508
Midt-Telemark,2016-2018,alle aldre,totalt,EU 60,andel (prosent),13.9817950889077
Midt-Telemark,2016-2018,0-17 år,totalt,EU 60,andel (prosent),17.6185344827586
Midt-Telemark,2017-2019,alle aldre,totalt,EU 60,andel (prosent),14.2706909243874
Midt-Telemark,2017-2019,0-17 år,totalt,EU 60,andel (prosent),17.8494623655914
Midt-Telemark,2018-2020,alle aldre,totalt,EU 60,andel (prosent),14.8086348941495
Midt-Telemark,2018-2020,0-17 år,totalt,EU 60,andel (prosent),18.8428874734607
Midt-Telemark,2019-2021,alle aldre,totalt,EU 60,andel (prosent),14.1731467081389
Midt-Telemark,2019-2021,0-17 år,totalt,EU 60,andel (prosent),17.741935483871
Midt-Telemark,2020-2022,alle aldre,totalt,EU 60,andel (prosent),13.4656928299558
Midt-Telemark,2020-2022,0-17 år,totalt,EU 60,andel (prosent),15.9273115980759
Midt-Telemark,2021-2023,alle aldre,totalt,EU 60,andel (prosent),14.0299114864177
Midt-Telemark,2021-2023,0-17 år,totalt,EU 60,andel (prosent),15.843179377014
Seljord,2015-2017,alle aldre,totalt,EU 60,andel (prosent),10.3844771828962
Seljord,2015-2017,0-17 år,totalt,EU 60,andel (prosent),11.3421550094518
Seljord,2016-2018,alle aldre,totalt,EU 60,andel (prosent),10.5377120173223
Seljord,2016-2018,0-17 år,totalt,EU 60,andel (prosent),12.1673003802281
Seljord,2017-2019,alle aldre,totalt,EU 60,andel (prosent),9.98542274052478
Seljord,2017-2019,0-17 år,totalt,EU 60,andel (prosent),12.3552123552124
Seljord,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.8468468468468
Seljord,2018-2020,0-17 år,totalt,EU 60,andel (prosent),14.9425287356322
Seljord,2019-2021,alle aldre,totalt,EU 60,andel (prosent),10.6452788917244
Seljord,2019-2021,0-17 år,totalt,EU 60,andel (prosent),16.403162055336
Seljord,2020-2022,alle aldre,totalt,EU 60,andel (prosent),9.38984289367921
Seljord,2020-2022,0-17 år,totalt,EU 60,andel (prosent),11.6089613034623
Seljord,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.86984815618221
Seljord,2021-2023,0-17 år,totalt,EU 60,andel (prosent),13.2264529058116
Hjartdal,2015-2017,alle aldre,totalt,EU 60,andel (prosent),12.0160213618158
Hjartdal,2015-2017,0-17 år,totalt,EU 60,andel (prosent),15.3024911032028
Hjartdal,2016-2018,alle aldre,totalt,EU 60,andel (prosent),10.8917631041525
Hjartdal,2016-2018,0-17 år,totalt,EU 60,andel (prosent),14.0794223826715
Hjartdal,2017-2019,alle aldre,totalt,EU 60,andel (prosent),10.8417508417508
Hjartdal,2017-2019,0-17 år,totalt,EU 60,andel (prosent),14.0845070422535
Hjartdal,2018-2020,alle aldre,totalt,EU 60,andel (prosent),12.2408026755853
Hjartdal,2018-2020,0-17 år,totalt,EU 60,andel (prosent),19.4244604316547
Hjartdal,2019-2021,alle aldre,totalt,EU 60,andel (prosent),12.1639784946237
Hjartdal,2019-2021,0-17 år,totalt,EU 60,andel (prosent),19.8473282442748
Hjartdal,2020-2022,alle aldre,totalt,EU 60,andel (prosent),12.0643431635389
Hjartdal,2020-2022,0-17 år,totalt,EU 60,andel (prosent),18.8524590163934
Hjartdal,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.74949221394719
Hjartdal,2021-2023,0-17 år,totalt,EU 60,andel (prosent),12.5
Tinn,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.72577696526508
Tinn,2015-2017,0-17 år,totalt,EU 60,andel (prosent),12.9230769230769
Tinn,2016-2018,alle aldre,totalt,EU 60,andel (prosent),10.5762217359592
Tinn,2016-2018,0-17 år,totalt,EU 60,andel (prosent),14.9895178197065
Tinn,2017-2019,alle aldre,totalt,EU 60,andel (prosent),10.888517900204
Tinn,2017-2019,0-17 år,totalt,EU 60,andel (prosent),16.310461192351
Tinn,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.7466063348416
Tinn,2018-2020,0-17 år,totalt,EU 60,andel (prosent),16.7650531286895
Tinn,2019-2021,alle aldre,totalt,EU 60,andel (prosent),10.7020221289584
Tinn,2019-2021,0-17 år,totalt,EU 60,andel (prosent),15.1819322459222
Tinn,2020-2022,alle aldre,totalt,EU 60,andel (prosent),10.2712060011541
Tinn,2020-2022,0-17 år,totalt,EU 60,andel (prosent),15.7142857142857
Tinn,2021-2023,alle aldre,totalt,EU 60,andel (prosent),10.6956016275916
Tinn,2021-2023,0-17 år,totalt,EU 60,andel (prosent),15.7273918741809
Kviteseid,2015-2017,alle aldre,totalt,EU 60,andel (prosent),8.77812086457874
Kviteseid,2015-2017,0-17 år,totalt,EU 60,andel (prosent),6.46067415730337
Kviteseid,2016-2018,alle aldre,totalt,EU 60,andel (prosent),8.61538461538462
Kviteseid,2016-2018,0-17 år,totalt,EU 60,andel (prosent),6.70391061452514
Kviteseid,2017-2019,alle aldre,totalt,EU 60,andel (prosent),8.88599913307326
Kviteseid,2017-2019,0-17 år,totalt,EU 60,andel (prosent),6.92520775623269
Kviteseid,2018-2020,alle aldre,totalt,EU 60,andel (prosent),9.23936398796734
Kviteseid,2018-2020,0-17 år,totalt,EU 60,andel (prosent),7.06214689265537
Kviteseid,2019-2021,alle aldre,totalt,EU 60,andel (prosent),9.81989708404803
Kviteseid,2019-2021,0-17 år,totalt,EU 60,andel (prosent),8.95953757225434
Kviteseid,2020-2022,alle aldre,totalt,EU 60,andel (prosent),10.100568430258
Kviteseid,2020-2022,0-17 år,totalt,EU 60,andel (prosent),7.71513353115727
Kviteseid,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.71428571428571
Kviteseid,2021-2023,0-17 år,totalt,EU 60,andel (prosent),8.25958702064897
Nissedal,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.87654320987654
Nissedal,2015-2017,0-17 år,totalt,EU 60,andel (prosent),6.53061224489796
Nissedal,2016-2018,alle aldre,totalt,EU 60,andel (prosent),11.6929698708752
Nissedal,2016-2018,0-17 år,totalt,EU 60,andel (prosent),13.8059701492537
Nissedal,2017-2019,alle aldre,totalt,EU 60,andel (prosent),12.129963898917
Nissedal,2017-2019,0-17 år,totalt,EU 60,andel (prosent),14.4404332129964
Nissedal,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.5567606652205
Nissedal,2018-2020,0-17 år,totalt,EU 60,andel (prosent),13.4057971014493
Nissedal,2019-2021,alle aldre,totalt,EU 60,andel (prosent),11.4222549742078
Nissedal,2019-2021,0-17 år,totalt,EU 60,andel (prosent),13.7404580152672
Nissedal,2020-2022,alle aldre,totalt,EU 60,andel (prosent),9.05743740795287
Nissedal,2020-2022,0-17 år,totalt,EU 60,andel (prosent),7.5098814229249
Nissedal,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.87564008778347
Nissedal,2021-2023,0-17 år,totalt,EU 60,andel (prosent),9.67741935483871
Fyresdal,2015-2017,alle aldre,totalt,EU 60,andel (prosent),14.043583535109
Fyresdal,2015-2017,0-17 år,totalt,EU 60,andel (prosent),21.900826446281
Fyresdal,2016-2018,alle aldre,totalt,EU 60,andel (prosent),13.136288998358
Fyresdal,2016-2018,0-17 år,totalt,EU 60,andel (prosent),21.3389121338912
Fyresdal,2017-2019,alle aldre,totalt,EU 60,andel (prosent),13.961038961039
Fyresdal,2017-2019,0-17 år,totalt,EU 60,andel (prosent),22.9437229437229
Fyresdal,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.4770017035775
Fyresdal,2018-2020,0-17 år,totalt,EU 60,andel (prosent),12.7962085308057
Fyresdal,2019-2021,alle aldre,totalt,EU 60,andel (prosent),10.0957354221062
Fyresdal,2019-2021,0-17 år,totalt,EU 60,andel (prosent),10.6796116504854
Fyresdal,2020-2022,alle aldre,totalt,EU 60,andel (prosent),10.0612423447069
Fyresdal,2020-2022,0-17 år,totalt,EU 60,andel (prosent),10.6280193236715
Fyresdal,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.81754995655951
Fyresdal,2021-2023,0-17 år,totalt,EU 60,andel (prosent),12.0
Tokke,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.36454849498328
Tokke,2015-2017,0-17 år,totalt,EU 60,andel (prosent),10.1827676240209
Tokke,2016-2018,alle aldre,totalt,EU 60,andel (prosent),9.67741935483871
Tokke,2016-2018,0-17 år,totalt,EU 60,andel (prosent),10.0263852242744
Tokke,2017-2019,alle aldre,totalt,EU 60,andel (prosent),10.3579952267303
Tokke,2017-2019,0-17 år,totalt,EU 60,andel (prosent),13.1506849315068
Tokke,2018-2020,alle aldre,totalt,EU 60,andel (prosent),9.85983566940551
Tokke,2018-2020,0-17 år,totalt,EU 60,andel (prosent),11.878453038674
Tokke,2019-2021,alle aldre,totalt,EU 60,andel (prosent),9.1756624141315
Tokke,2019-2021,0-17 år,totalt,EU 60,andel (prosent),10.1156069364162
Tokke,2020-2022,alle aldre,totalt,EU 60,andel (prosent),9.24287118977385
Tokke,2020-2022,0-17 år,totalt,EU 60,andel (prosent),8.40840840840841
Tokke,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.15354330708661
Tokke,2021-2023,0-17 år,totalt,EU 60,andel (prosent),8.76132930513595
Vinje,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.20634920634921
Vinje,2015-2017,0-17 år,totalt,EU 60,andel (prosent),8.47723704866562
Vinje,2016-2018,alle aldre,totalt,EU 60,andel (prosent),8.39562967222542
Vinje,2016-2018,0-17 år,totalt,EU 60,andel (prosent),6.67701863354037
Vinje,2017-2019,alle aldre,totalt,EU 60,andel (prosent),9.36686903729401
Vinje,2017-2019,0-17 år,totalt,EU 60,andel (prosent),9.01771336553945
Vinje,2018-2020,alle aldre,totalt,EU 60,andel (prosent),9.50226244343891
Vinje,2018-2020,0-17 år,totalt,EU 60,andel (prosent),8.78594249201278
Vinje,2019-2021,alle aldre,totalt,EU 60,andel (prosent),8.97727272727273
Vinje,2019-2021,0-17 år,totalt,EU 60,andel (prosent),8.09061488673139
Vinje,2020-2022,alle aldre,totalt,EU 60,andel (prosent),8.92857142857143
Vinje,2020-2022,0-17 år,totalt,EU 60,andel (prosent),9.16398713826367
Vinje,2021-2023,alle aldre,totalt,EU 60,andel (prosent),8.98271465004251
Vinje,2021-2023,0-17 år,totalt,EU 60,andel (prosent),8.52090032154341
