Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Nome,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.8729355142822
Nome,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.5359954892123
Nome,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",30.3976551174053
Nome,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nome,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.4521643917834
Nome,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.96750938546594
Nome,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",19.9024616452969
Midt-Telemark,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.8772914956732
Midt-Telemark,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",5.53224198122815
Midt-Telemark,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",24.2535348395508
Midt-Telemark,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.2786655695417
Midt-Telemark,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.49780700359687
Midt-Telemark,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",21.9870333119818
Midt-Telemark,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Midt-Telemark,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Midt-Telemark,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Midt-Telemark,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Seljord,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.8871829290766
Seljord,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.84082904826947
Seljord,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.0939913418548
Seljord,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.7634088425051
Seljord,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Seljord,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Seljord,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Seljord,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",10.4004604679389
Seljord,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Seljord,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Hjartdal,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.4778754576709
Hjartdal,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.3350206009943
Hjartdal,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",16.9911426242219
Hjartdal,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Hjartdal,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",20.4509882720747
Tinn,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.1409884434977
Tinn,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",28.8620993550655
Tinn,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",16.1018566189147
Tinn,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Tinn,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Tinn,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tinn,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",10.6488323956414
Tinn,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",5.78714812944195
Tinn,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.4694773426593
Kviteseid,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Kviteseid,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Nissedal,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Fyresdal,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Tokke,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",10.7625118016029
Tokke,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Tokke,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Vinje,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.2426307396848
Vinje,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Vinje,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Vinje,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",10.2910451662474
Vinje,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.9087731708006
Vinje,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",12.8009072743515
Vinje,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Vinje,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.3181402445341
Vinje,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Vinje,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
